timestamp,Observed,XGB,GBR,SARIMA,SARIMAX
2023-08-23 15:00:00,510.000000,522.769104,505.988493,415.573368,487.911034
2023-08-23 16:00:00,590.000000,585.672668,573.450083,470.929129,530.525341
2023-08-23 17:00:00,672.020000,680.690674,667.310439,524.503299,625.279465
2023-08-23 18:00:00,825.020000,788.974243,764.194791,567.241501,763.066930
2023-08-23 19:00:00,899.990000,930.575562,926.745681,606.377249,878.605436
2023-08-23 20:00:00,920.000000,949.124634,944.946008,616.122578,888.881944
2023-08-23 21:00:00,854.220000,842.867798,820.584998,585.908776,847.253055
2023-08-23 22:00:00,721.000000,800.658020,780.814689,544.298739,761.029342
2023-08-23 23:00:00,590.000000,649.464294,644.842961,487.766459,667.578661
2023-08-24 00:00:00,574.000000,568.646057,575.278648,459.408558,583.641369
2023-08-24 01:00:00,530.580000,574.612305,564.279549,436.908586,572.623032
2023-08-24 02:00:00,512.000000,544.380127,536.114557,426.152771,543.580127
2023-08-24 03:00:00,503.120000,525.429077,522.202068,425.596511,523.639907
2023-08-24 04:00:00,510.000000,527.362122,526.699366,423.253059,515.113646
2023-08-24 05:00:00,530.000000,546.199402,557.549936,421.817054,525.719635
2023-08-24 06:00:00,660.000000,654.883545,645.408848,473.643883,601.209872
2023-08-24 07:00:00,700.000000,732.169189,696.716132,483.091068,684.093412
2023-08-24 08:00:00,650.000000,721.609436,695.981142,478.575215,674.510753
2023-08-24 09:00:00,563.000000,612.744324,629.255027,441.441224,604.273546
2023-08-24 10:00:00,518.460000,517.378784,530.482535,392.456655,538.085927
2023-08-24 11:00:00,503.120000,501.456787,512.731869,377.682933,523.244810
2023-08-24 12:00:00,497.000000,505.296967,506.992734,376.814214,504.194530
2023-08-24 13:00:00,497.000000,502.954071,500.917648,377.876492,508.561776
2023-08-24 14:00:00,497.000000,510.748901,515.167179,385.262914,508.701313
2023-08-24 15:00:00,530.230000,529.764526,528.773372,416.772987,509.402762
2023-08-24 16:00:00,600.000000,598.313721,593.941635,472.128837,556.465783
2023-08-24 17:00:00,721.040000,699.017212,679.776663,525.703093,644.513085
2023-08-24 18:00:00,932.810000,839.580322,815.599961,568.441241,803.212311
2023-08-24 19:00:00,943.620000,1092.138306,1074.586061,607.576950,964.312129
2023-08-24 20:00:00,943.720000,1020.632812,978.405281,617.322276,923.789621
2023-08-24 21:00:00,848.500000,861.796021,830.435279,587.108534,856.973283
2023-08-24 22:00:00,690.000000,762.897461,773.245147,545.498572,738.087750
2023-08-24 23:00:00,585.000000,623.626648,619.932360,488.966239,630.125771
2023-08-25 00:00:00,524.000000,529.667114,559.135387,563.938688,497.340749
2023-08-25 01:00:00,492.570000,489.776093,503.648446,534.144582,348.124591
2023-08-25 02:00:00,480.270000,479.990417,488.542535,521.181268,301.914699
2023-08-25 03:00:00,480.000000,481.122925,475.113490,516.429483,347.442417
2023-08-25 04:00:00,480.790000,486.345245,494.239610,514.111528,348.641837
2023-08-25 05:00:00,485.470000,499.836731,505.007789,520.472031,382.960304
2023-08-25 06:00:00,570.000000,578.060791,566.466638,597.765866,564.916328
2023-08-25 07:00:00,630.000000,619.280029,605.857639,620.279330,639.762433
2023-08-25 08:00:00,620.000000,664.300659,638.120095,591.943056,646.098868
2023-08-25 09:00:00,570.000000,590.000549,591.535375,523.341251,582.981268
2023-08-25 10:00:00,490.000000,529.244019,527.457739,475.125749,603.032728
2023-08-25 11:00:00,480.000000,484.658600,478.422573,459.716350,632.789118
2023-08-25 12:00:00,470.000000,487.532135,480.989101,452.970510,612.541328
2023-08-25 13:00:00,477.920000,471.776062,471.388020,453.083012,508.937872
2023-08-25 14:00:00,484.770000,486.017700,488.391859,458.909160,439.014425
2023-08-25 15:00:00,515.000000,506.229095,506.517284,486.070664,391.047003
2023-08-25 16:00:00,615.000000,574.770874,573.101960,546.954812,634.600006
2023-08-25 17:00:00,731.000000,703.911865,706.395127,616.004816,719.973016
2023-08-25 18:00:00,850.410000,825.882507,808.167742,713.285375,819.931325
2023-08-25 19:00:00,912.220000,914.980957,930.752991,757.792521,916.321139
2023-08-25 20:00:00,922.220000,869.008850,922.447867,765.085929,886.876003
2023-08-25 21:00:00,808.250000,792.761475,820.208470,712.284007,736.823427
2023-08-25 22:00:00,674.920000,699.329651,733.049063,625.745279,630.466744
2023-08-25 23:00:00,551.360000,583.489258,604.948343,546.056334,543.308248
2023-08-26 00:00:00,525.000000,534.297974,549.583896,525.772225,424.708486
2023-08-26 01:00:00,476.000000,517.301392,523.591328,498.916333,437.070148
2023-08-26 02:00:00,455.000000,481.973297,477.916050,487.895236,413.285360
2023-08-26 03:00:00,455.000000,473.555298,465.072289,484.862993,466.323484
2023-08-26 04:00:00,455.000000,462.546173,479.374749,482.642912,435.839946
