pair,loss,n,h,nw_lags,dm_raw,dm,p_norm,p_t,mean_diff,better
GBR_ES vs AutoML,mse,2470,1,8,-2.8395588763343884,-2.8389840086543736,0.004525742492643481,0.004525742492643481,-817.1776993497481,GBR_ES
SARIMAX vs SARIMA,mae,2470,1,8,-22.404596648540462,-22.400060845953533,0.0,0.0,-73.05662730565196,SARIMAX
SARIMAX vs SARIMA,mse,2470,1,8,-17.14528871482827,-17.141817657253508,0.0,0.0,-15366.346179955422,SARIMAX
SARIMAX vs Seq2Seq,mae,2470,1,8,11.379924520711944,11.37762065905847,0.0,0.0,10.755893021189666,Seq2Seq
SARIMAX vs Seq2Seq,mse,2470,1,8,7.869048454785745,7.867455368737476,3.552713678800501e-15,3.552713678800501e-15,1045.0937725064628,Seq2Seq
SARIMAX vs TiDE,mae,2470,1,8,18.595067159583984,18.59130259488105,0.0,0.0,13.629250857765394,TiDE
SARIMAX vs TiDE,mse,2470,1,8,14.686703806897048,14.683730488958512,0.0,0.0,1319.0415283233938,TiDE
SARIMAX vs Transformer,mae,2470,1,8,9.77231485661022,9.770336454958889,0.0,0.0,9.168884091781194,Transformer
SARIMAX vs Transformer,mse,2470,1,8,7.394910927576776,7.393413830501493,1.4299672557172016e-13,1.4299672557172016e-13,922.62347390776,Transformer
SARIMAX vs AutoML,mae,2470,1,8,4.6376697991882265,4.636730904594297,3.5396274007393203e-06,3.5396274007393203e-06,5.392699886554929,AutoML
SARIMAX vs AutoML,mse,2470,1,8,1.0264104664633267,1.0262026700311004,0.3047960630896971,0.3047960630896971,322.33303967180564,AutoML
SARIMA vs Seq2Seq,mae,2470,1,8,26.349119306438237,26.34378493664849,0.0,0.0,83.81252032684161,Seq2Seq
SARIMA vs Seq2Seq,mse,2470,1,8,18.46849453820526,18.464755598084302,0.0,0.0,16411.439952461886,Seq2Seq
SARIMA vs TiDE,mae,2470,1,8,27.14694254619466,27.141446657375063,0.0,0.0,86.68587816341734,TiDE
SARIMA vs TiDE,mse,2470,1,8,18.669405868042396,18.665626253494494,0.0,0.0,16685.387708278813,TiDE
SARIMA vs Transformer,mae,2470,1,8,25.18770530804635,25.182606066105635,0.0,0.0,82.22551139743314,Transformer
SARIMA vs Transformer,mse,2470,1,8,18.280035447775937,18.276334661130505,0.0,0.0,16288.969653863182,Transformer
SARIMA vs AutoML,mae,2470,1,8,24.04533787718185,24.040469907119377,0.0,0.0,78.44932719220688,AutoML
SARIMA vs AutoML,mse,2470,1,8,17.028665289596994,17.025217842393005,0.0,0.0,15688.679219627229,AutoML
Seq2Seq vs TiDE,mae,2470,1,8,3.7494541642482364,3.7486950885922647,0.00017775703756450767,0.00017775703756450767,2.873357836575729,TiDE
Seq2Seq vs TiDE,mse,2470,1,8,2.4851730844579705,2.4846699620549084,0.012967159160543584,0.012967159160543584,273.947755816931,TiDE
Seq2Seq vs Transformer,mae,2470,1,8,-2.7867854239177943,-2.7862212402043665,0.0053326461963463245,0.0053326461963463245,-1.5870089294084726,Seq2Seq
Seq2Seq vs Transformer,mse,2470,1,8,-1.9177463174734253,-1.9173580704166127,0.05519245720070787,0.05519245720070787,-122.47029859870256,Seq2Seq
Seq2Seq vs AutoML,mae,2470,1,8,-7.994430054194459,-7.992811584686185,1.3322676295501878e-15,1.3322676295501878e-15,-5.363193134634736,Seq2Seq
Seq2Seq vs AutoML,mse,2470,1,8,-3.0201372668015884,-3.0195258410909394,0.002531706947085599,0.002531706947085599,-722.760732834657,Seq2Seq
TiDE vs Transformer,mae,2470,1,8,-5.511219323587041,-5.510103579203993,3.586226027252337e-08,3.586226027252337e-08,-4.460366765984202,TiDE
TiDE vs Transformer,mse,2470,1,8,-3.8466400737558972,-3.845861322847268,0.00012012969516583816,0.00012012969516583816,-396.4180544156336,TiDE
TiDE vs AutoML,mae,2470,1,8,-8.52363615809009,-8.521910550995154,0.0,0.0,-8.236550971210464,TiDE
TiDE vs AutoML,mse,2470,1,8,-3.287282222623909,-3.2866167135123976,0.001013987445309894,0.001013987445309894,-996.7084886515883,TiDE
Transformer vs AutoML,mae,2470,1,8,-4.972869425840835,-4.971862670202247,6.631267344126002e-07,6.631267344126002e-07,-3.7761842052262633,Transformer
Transformer vs AutoML,mse,2470,1,8,-2.3914543509692376,-2.390970201890287,0.016803916639915872,0.016803916639915872,-600.2904342359545,Transformer
