feature,borda,wborda,rrf,mean_rank,median_rank,models_count,models_frac,borda_norm,wborda_norm,rrf_norm,final_score
pl_produkcja_woda_szczytyowo_pompowe,11,1.4769333273105316,0.0019180952302734176,10.0,10.0,1,0.14285714285714285,0.08403361344537816,0.07706532523793358,0.026858891564125305,0.05196210840102944
rezerwa_mocy_ponizej_zapotrzebowania,12,1.4529390831678801,0.0017547573468211111,9.0,9.0,1,0.14285714285714285,0.09243697478991597,0.07568812248006437,0.015477463858397988,0.04558279316923118
inflacja_vs_poprzedni_rok,3,0.5429019140592615,0.0023200936498259037,18.0,18.0,1,0.14285714285714285,0.01680672268907563,0.023454524638487413,0.0548702496964181,0.03916238716745275
pl_produkcja_woda_zbiornikowe,8,1.0741333289531139,0.0018392693988923182,13.0,13.0,1,0.14285714285714285,0.058823529411764705,0.0539457276665535,0.0213662864057525,0.037656007036153
pl_produkcja_woda_przeplywowe,5,0.7611643552338604,0.0020030640927206854,16.0,16.0,1,0.14285714285714285,0.03361344537815126,0.03598218061038773,0.032779544781502426,0.03438086269594508
co2_cena,2,0.36193460937284094,0.002290725375777474,19.0,19.0,1,0.14285714285714285,0.008403361344537815,0.013067505584393822,0.05282386045186917,0.03294568301813149
fixing_i_price_roll24_max,9,1.08970431237591,0.0016816424573702317,12.0,12.0,1,0.14285714285714285,0.06722689075630252,0.05483945872909994,0.010382798671675325,0.03261112870038763
quarter,3,0.44720807596642853,0.0019111456237881563,18.0,18.0,1,0.14285714285714285,0.01680672268907563,0.017961964966717106,0.026374641112708434,0.022168303039712768
fixing_i_price_roll24_mean,4,0.5370666644765569,0.0017437229366121978,17.0,17.0,1,0.14285714285714285,0.025210084033613446,0.02311959757138007,0.01470858318348244,0.018914090377431254
kurs_eur_pln,2,0.2981387173109524,0.0018869539070313442,19.0,19.0,1,0.14285714285714285,0.008403361344537815,0.009405799136546954,0.024688955774282425,0.017047377455414688
promieniowanie_bezposrednie,3,0.4027999983574177,0.001721367514347939,18.0,18.0,1,0.14285714285714285,0.01680672268907563,0.015413065047586714,0.013150851339810284,0.014281958193698499
gaz_cena,1,0.13426666611913923,0.0016783333264892403,20.0,20.0,1,0.14285714285714285,0.0,0.0,0.010152217540741363,0.0050761087703706815
niemcy_imp,2,0.24215651386131334,0.0015326361636791984,19.0,19.0,1,0.14285714285714285,0.008403361344537815,0.006192576643516264,0.0,0.003096288321758132
