feature,borda,wborda,rrf,mean_rank,median_rank,models_count,models_frac,borda_norm,wborda_norm,rrf_norm,final_score
cos168,19,2.7142857142857144,0.004011895410167209,11.5,11.5,2,0.2857142857142857,0.15126050420168066,0.15126050420168072,0.15885692476756522,0.15505871448462297
sumaryczna_generacja_jednostek_nieuczestniczacych,20,2.8571428571428568,0.00234192037470726,1.0,1.0,1,0.14285714285714285,0.15966386554621848,0.1596638655462185,0.0396900269541779,0.0996769462501982
d_price_1h,8,1.1428571428571428,0.003716216216216216,17.0,17.0,2,0.2857142857142857,0.058823529411764705,0.05882352941176472,0.13775770379543964,0.09829061660360218
predkosc_wiatru,16,2.2857142857142856,0.002197802197802198,5.0,5.0,1,0.14285714285714285,0.12605042016806722,0.12605042016806725,0.029405971387103467,0.07772819577758536
rezerwa_mocy_ponad_zapotrzebowanie,3,0.42857142857142855,0.003594032549728752,19.5,19.5,2,0.2857142857142857,0.01680672268907563,0.016806722689075633,0.12903886178307006,0.07292279223607284
rezerwa_mocy_ponizej_zapotrzebowania,12,1.7142857142857142,0.0020703933747412005,9.0,9.0,1,0.14285714285714285,0.09243697478991597,0.09243697478991598,0.020314270088675323,0.056375622439295656
pl_produkcja_woda_szczytyowo_pompowe,11,1.5714285714285714,0.002040816326530612,10.0,10.0,1,0.14285714285714285,0.08403361344537816,0.08403361344537817,0.018203696572968796,0.05111865500917348
suma_zdolnosci_wytworczych_JGMa,11,1.5714285714285714,0.002040816326530612,10.0,10.0,1,0.14285714285714285,0.08403361344537816,0.08403361344537817,0.018203696572968796,0.05111865500917348
fixing_i_price_roll24_max,9,1.2857142857142856,0.001984126984126984,12.0,12.0,1,0.14285714285714285,0.06722689075630252,0.06722689075630253,0.014158430667864626,0.04069266071208358
pl_produkcja_woda_zbiornikowe,8,1.1428571428571428,0.0019569471624266144,13.0,13.0,1,0.14285714285714285,0.058823529411764705,0.05882352941176472,0.012218919617472212,0.03552122451461846
pl_produkcja_woda_przeplywowe,5,0.7142857142857142,0.0018796992481203006,16.0,16.0,1,0.14285714285714285,0.03361344537815126,0.033613445378151266,0.006706625053199032,0.020160035215675148
fixing_i_price_roll24_mean,4,0.5714285714285714,0.0018552875695732837,17.0,17.0,1,0.14285714285714285,0.025210084033613446,0.02521008403361345,0.0049646445199005755,0.015087364276757012
quarter,3,0.42857142857142855,0.0018315018315018315,18.0,18.0,1,0.14285714285714285,0.01680672268907563,0.016806722689075633,0.003267330154122611,0.010037026421599121
promieniowanie_bezposrednie,3,0.42857142857142855,0.0018315018315018315,18.0,18.0,1,0.14285714285714285,0.01680672268907563,0.016806722689075633,0.003267330154122611,0.010037026421599121
inflacja_vs_poprzedni_rok,3,0.42857142857142855,0.0018315018315018315,18.0,18.0,1,0.14285714285714285,0.01680672268907563,0.016806722689075633,0.003267330154122611,0.010037026421599121
kurs_eur_pln,2,0.2857142857142857,0.0018083182640144665,19.0,19.0,1,0.14285714285714285,0.008403361344537815,0.008403361344537816,0.0016129857722883753,0.005008173558413096
co2_cena,2,0.2857142857142857,0.0018083182640144665,19.0,19.0,1,0.14285714285714285,0.008403361344537815,0.008403361344537816,0.0016129857722883753,0.005008173558413096
niemcy_imp,2,0.2857142857142857,0.0018083182640144665,19.0,19.0,1,0.14285714285714285,0.008403361344537815,0.008403361344537816,0.0016129857722883753,0.005008173558413096
gaz_cena,1,0.14285714285714285,0.0017857142857142857,20.0,20.0,1,0.14285714285714285,0.0,0.0,0.0,0.0
